campaign_name,impressions,clicks,conversions,spend
Summer_Sale_2024,125000,3750,225,2500.00
Brand_Awareness_Q3,280000,5600,168,4200.00
Black_Friday_Early,95000,4275,385,3100.00
Product_Launch_Mobile,156000,4680,312,3900.00
Retargeting_Campaign,42000,2100,189,1400.00
Email_Newsletter_Oct,38000,1900,152,800.00
Social_Media_Boost,210000,8400,420,5600.00
Google_Search_Generic,178000,7120,498,6200.00
LinkedIn_B2B_Outreach,65000,1950,117,2800.00
Instagram_Influencer,192000,9600,576,4800.00
YouTube_PreRoll,340000,6800,272,5100.00
Facebook_Lookalike,145000,5800,464,3800.00
Twitter_Engagement,88000,2640,106,1900.00
Pinterest_Shopping,103000,4120,329,2700.00
TikTok_Video_Ads,267000,10680,641,5400.00
